"","Views","Title","Department","Details","Amount","Date","Place","ID"
"72","88 views","
                      I Paid Rs. 100 to Stamps and Registration in Ahmadnagar.
                    ","Stamps and Registration","Registration of Property","Paid INR 100
                        ","November 04, 2015","Ahmadnagar
                      , Maharashtra","81876"
"73","114 views","
                      I Paid Rs. 10000 to Others in Kalahandi.
                    ","Others","Others","Paid INR 10,000
                        ","November 04, 2015","Kalahandi
                      , Orissa","81871"
"74","104 views","
                      I Paid Rs. 20000 to Others in Ahmedabad.
                    ","Others","Others","Paid INR 20,000
                        ","November 04, 2015","Ahmedabad
                      , Gujarat","81866"
"75","137 views","
                      I Paid Rs. 2000 to Police in Daudnagar.
                    ","Police","Traffic Violations","Paid INR 2,000
                        ","November 04, 2015","Daudnagar
                      , Bihar","81865"
"76","88 views","
                      I Paid Rs. 20 to Municipal Services in Thanjavur.
                    ","Municipal Services","Birth Certificate","Paid INR 20
                        ","November 04, 2015","Thanjavur
                      , Tamil Nadu","81864"
"77","97 views","
                      I Paid Rs. 5000 to Municipal Services in Bhandara.
                    ","Municipal Services","Birth Certificate","Paid INR 5,000
                        ","November 04, 2015","Bhandara
                      , Madhya Pradesh","81855"
"78","99 views","
                      I Paid Rs. 2000 to Commercial Tax, Sales Tax, VAT in Abhayapuri.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 2,000
                        ","November 04, 2015","Abhayapuri
                      , Assam","81852"
"79","77 views","
                      I Paid Rs. 20000 to Food, Civil Supplies and Consumer Affairs in Coimbatore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 20,000
                        ","November 04, 2015","Coimbatore
                      , Tamil Nadu","81850"
"80","83 views","
                      I Paid Rs. 3000 to Municipal Services in Bokaro.
                    ","Municipal Services","Birth Certificate","Paid INR 3,000
                        ","November 04, 2015","Bokaro
                      , Jharkhand","81848"
"81","75 views","
                      I Paid Rs. 220 to Others in Achhnera.
                    ","Others","Others","Paid INR 220
                        ","November 04, 2015","Achhnera
                      , Uttar Pradesh","81841"
"82","66 views","
                      I Paid Rs. 150 to Municipal Services in Chennai.
                    ","Municipal Services","Birth Certificate","Paid INR 150
                        ","November 04, 2015","Chennai
                      , Tamil Nadu","81840"
"83","69 views","
                      I Paid Rs. 38 to Income Tax in Gorakhpur.
                    ","Income Tax","New PAN Card","Paid INR 38
                        ","November 04, 2015","Gorakhpur
                      , Uttar Pradesh","81839"
"84","73 views","
                      I Paid Rs. 100000 to Income Tax in Adari.
                    ","Income Tax","New PAN Card","Paid INR 1,00,000
                        ","November 04, 2015","Adari
                      , Uttar Pradesh","81832"
"85","90 views","
                      I Paid Rs. 200 to Others in New Delhi.
                    ","Others","Others","Paid INR 200
                        ","November 04, 2015","New Delhi
                      , Delhi","81816"
"86","87 views","
                      I Paid Rs. 100000 to Income Tax in Nagercoil.
                    ","Income Tax","New PAN Card","Paid INR 1,00,000
                        ","November 04, 2015","Nagercoil
                      , Tamil Nadu","81806"
"87","81 views","
                      I Paid Rs. 10000 to Police in Hyderabad.
                    ","Police","Police Harassment","Paid INR 10,000
                        ","November 04, 2015","Hyderabad
                      , Telangana","81795"
"88","83 views","
                      I Paid Rs. 10000 to Police in Malkangiri.
                    ","Police","Filing FIR","Paid INR 10,000
                        ","November 04, 2015","Malkangiri
                      , Orissa","81790"
"89","74 views","
                      I Paid Rs. 11000 to Commercial Tax, Sales Tax, VAT in Pune.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 11,000
                        ","November 04, 2015","Pune
                      , Maharashtra","81789"
"90","66 views","
                      I Paid Rs. 55555 to Others in Rajkot.
                    ","Others","Others","Paid INR 55,555
                        ","November 04, 2015","Rajkot
                      , Gujarat","81788"
"91","86 views","
                      I Paid Rs. 90 to Transport in Hyderabad.
                    ","Transport","New Domestic Driving License","Paid INR 90
                        ","November 04, 2015","Hyderabad
                      , Telangana","81771"
"92","98 views","
                      I Paid Rs. 100 to Transport in Hyderabad.
                    ","Transport","Registration of Vehicle","Paid INR 100
                        ","November 04, 2015","Hyderabad
                      , Telangana","81766"
"93","115 views","
                      I Paid Rs. 10000 to Municipal Services in Pune.
                    ","Municipal Services","Birth Certificate","Paid INR 10,000
                        ","November 03, 2015","Pune
                      , Maharashtra","81744"
"94","127 views","
                      I Paid Rs. 6000 to Municipal Services in Dharmapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 6,000
                        ","November 03, 2015","Dharmapuri
                      , Tamil Nadu","81742"
"95","133 views","
                      I Paid Rs. 100 to Others in Jhunjhunun.
                    ","Others","Others","Paid INR 100
                        ","November 03, 2015","Jhunjhunun
                      , Rajasthan","81737"
"96","129 views","
                      I Paid Rs. 10 to Others in Achhnera.
                    ","Others","Others","Paid INR 10
                        ","November 03, 2015","Achhnera
                      , Uttar Pradesh","81734"
"97","152 views","
                      I Paid Rs. 500 to Municipal Services in Nellore.
                    ","Municipal Services","Birth Certificate","Paid INR 500
                        ","November 03, 2015","Nellore
                      , Andhra Pradesh","81719"
"98","153 views","
                      I Paid Rs. 788 to Municipal Services in Abohar.
                    ","Municipal Services","Birth Certificate","Paid INR 788
                        ","November 03, 2015","Abohar
                      , Punjab","81706"
"99","178 views","
                      LAKSHMINARAYAN THE MOST CORRUPT IN KARNATAKA STATE POLLUTION CONTROL BOARD
                    ","Others","Others","Paid INR 25,000
                        ","November 03, 2015","Bangalore
                      , Karnataka","81705"
"100","175 views","
                      Paid Bribe to Get Degree
                    ","Education","School or College Related Activities","Paid INR 20,000
                        ","November 03, 2015","New Delhi
                      , Delhi","81700"
"101","144 views","
                      I Paid Rs. 20 to Municipal Services in Abhayapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 20
                        ","November 03, 2015","Abhayapuri
                      , Assam","81692"
"102","180 views","
                      I Paid Rs. 15000 to Stamps and Registration in Nagpur.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 15,000
                        ","November 03, 2015","Nagpur
                      , Maharashtra","81681"
"103","136 views","
                      I Paid Rs. 111 to Municipal Services in Solapur.
                    ","Municipal Services","Birth Certificate","Paid INR 111
                        ","November 03, 2015","Solapur
                      , Maharashtra","81673"
"104","126 views","
                      I Paid Rs. 344 to Municipal Services in Almora.
                    ","Municipal Services","Birth Certificate","Paid INR 344
                        ","November 03, 2015","Almora
                      , Uttarakhand","81670"
"105","135 views","
                      Paid Bribe for Borewell drilling in Bangalore
                    ","Water and Sewage","Water Connection under Sajala","Paid INR 3,700
                        ","November 03, 2015","Bangalore
                      , Karnataka","81669"
"106","115 views","
                      I Paid Rs. 111 to Municipal Services in Abohar.
                    ","Municipal Services","Birth Certificate","Paid INR 111
                        ","November 03, 2015","Abohar
                      , Punjab","81655"
"107","113 views","
                      I Paid Rs. 1 to Municipal Services in Mumbai.
                    ","Municipal Services","Birth Certificate","Paid INR 1
                        ","November 03, 2015","Mumbai
                      , Maharashtra","81654"
"108","141 views","
                      I Paid Rs. 5000 to Police in Thane.
                    ","Police","Filing FIR","Paid INR 5,000
                        ","November 03, 2015","Thane
                      , Maharashtra","81652"
"109","123 views","
                      I Paid Rs. 500 to Municipal Services in Lucknow.
                    ","Municipal Services","Birth Certificate","Paid INR 500
                        ","November 03, 2015","Lucknow
                      , Uttar Pradesh","81645"
"110","109 views","
                      I Paid Rs. 100 to Municipal Services in Mumbai.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","November 03, 2015","Mumbai
                      , Maharashtra","81642"
"111","135 views","
                      I Paid Rs. 1000 to Police in Hazaribagh.
                    ","Police","Traffic Violations","Paid INR 1,000
                        ","November 03, 2015","Hazaribagh
                      , Jharkhand","81629"
"112","145 views","
                      I Paid Rs. 50000 to Food, Civil Supplies and Consumer Affairs in Abohar.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 50,000
                        ","November 03, 2015","Abohar
                      , Punjab","81625"
